stage_id,candidate_id,req_id,stage_name,stage_sequence,stage_date,outcome,interviewer_id,feedback_score
STG000044,CAN00017,REQ1014,Recruiter Screening,1,2024-06-03,Cleared,\N,5
STG000045,CAN00017,REQ1014,Profile Submission,2,2024-06-10,Cleared,REC004,4
STG000046,CAN00018,REQ1019,Recruiter Screening,1,2024-06-10,Req Cancelled Mid-Process,\N,\N
STG000047,CAN00019,REQ1037,Recruiter Screening,1,2024-09-03,Cleared,\N,3
STG000048,CAN00019,REQ1037,Profile Submission,2,2024-09-18,Cleared,REC004,4
STG000049,CAN00020,REQ1019,Recruiter Screening,1,2024-05-24,Rejected – Skills,\N,1
STG000050,CAN00021,REQ1012,Recruiter Screening,1,2024-11-18,Rejected – Skills,\N,1
STG000051,CAN00022,REQ1036,Recruiter Screening,1,2024-09-17,Cleared,\N,3
STG000052,CAN00022,REQ1036,Profile Submission,2,2024-09-23,Cleared,REC013,4
STG000053,CAN00022,REQ1036,Technical Round 1,3,2024-09-30,Cleared,REC009,5
STG000054,CAN00023,REQ1041,Recruiter Screening,1,2025-04-17,Cleared,\N,3
STG000055,CAN00023,REQ1041,HR Intro Round,2,2025-04-23,Cleared,REC009,\N
STG000056,CAN00023,REQ1041,Technical Round 1,3,2025-04-28,Rejected – Skills,REC007,3
STG000057,CAN00024,REQ1037,Recruiter Screening,1,2024-07-29,Cleared,\N,4
STG000058,CAN00024,REQ1037,Profile Submission,2,2024-08-13,Cleared,REC012,\N
STG000059,CAN00024,REQ1037,Technical Round 1,3,2024-08-27,Cleared,REC009,5
STG000060,CAN00024,REQ1037,Technical Round 2,4,2024-09-13,Rejected – Skills,REC006,1
STG000061,CAN00025,REQ1044,Recruiter Screening,1,2025-01-06,Rejected – Skills,\N,3
STG000062,CAN00026,REQ1044,Recruiter Screening,1,2024-12-31,Cleared,\N,5
STG000063,CAN00026,REQ1044,Profile Submission,2,2025-01-03,Cleared,REC003,4
STG000064,CAN00026,REQ1044,Technical Round 1,3,2025-01-09,Rejected – Skills,REC015,3
STG000065,CAN00027,REQ1004,Recruiter Screening,1,2024-11-28,Cleared,\N,3
STG000066,CAN00027,REQ1004,Profile Submission,2,2024-12-16,Rejected – Compensation Mismatch,REC011,2
STG000067,CAN00028,REQ1017,Recruiter Screening,1,2024-11-19,Rejected – Skills,\N,\N
STG000068,CAN00029,REQ1034,Recruiter Screening,1,2024-10-24,Rejected – Skills,\N,2
STG000069,CAN00030,REQ1045,Recruiter Screening,1,2024-05-27,Cleared,\N,5
STG000070,CAN00030,REQ1045,Profile Submission,2,2024-06-07,Cleared,REC012,4
STG000071,CAN00030,REQ1045,Technical Round 1,3,2024-06-24,Cleared,REC015,4
STG000072,CAN00030,REQ1045,Technical Round 2,4,2024-07-12,Rejected – Skills,REC012,3
STG000073,CAN00031,REQ1053,Recruiter Screening,1,2024-02-08,Cleared,\N,3
STG000074,CAN00031,REQ1053,HR Intro Round,2,2024-02-16,Rejected – Skills,REC015,3
STG000075,CAN00032,REQ1038,Recruiter Screening,1,2025-04-07,Cleared,\N,4
STG000076,CAN00032,REQ1038,Profile Submission,2,2025-04-15,Cleared,REC010,5
STG000077,CAN00032,REQ1038,Technical Round 1,3,2025-04-21,Cleared,REC015,3
STG000078,CAN00032,REQ1038,Technical Round 2,4,2025-04-25,Cleared,REC014,3
STG000079,CAN00032,REQ1038,Technical Round 3,5,2025-05-01,Rejected – Skills,REC014,3
STG000080,CAN00033,REQ1039,Recruiter Screening,1,2024-12-16,Rejected – Culture Fit,\N,2
STG000081,CAN00034,REQ1040,Recruiter Screening,1,2025-06-13,Cleared,\N,3
STG000082,CAN00034,REQ1040,Profile Submission,2,2025-06-16,Rejected – Skills,REC011,3
STG000083,CAN00035,REQ1043,Recruiter Screening,1,2024-02-12,Cleared,\N,3
STG000084,CAN00035,REQ1043,Profile Submission,2,2024-02-16,Cleared,REC005,3
STG000085,CAN00035,REQ1043,Technical Round 1,3,2024-02-22,Cleared,REC005,4
STG000086,CAN00035,REQ1043,Technical Round 2,4,2024-02-29,Rejected – Skills,REC006,3
STG000087,CAN00036,REQ1024,Recruiter Screening,1,2024-06-14,Rejected – Skills,\N,3
STG000088,CAN00037,REQ1056,Recruiter Screening,1,2025-01-20,Cleared,\N,4
STG000089,CAN00037,REQ1056,Profile Submission,2,2025-01-28,Cleared,REC013,5
STG000090,CAN00037,REQ1056,Technical Round 1,3,2025-02-05,Rejected – Culture Fit,REC013,3
STG000091,CAN00038,REQ1008,Recruiter Screening,1,2025-05-02,Rejected – Skills,\N,3
STG000092,CAN00039,REQ1020,Recruiter Screening,1,2024-06-03,Cleared,\N,4
STG000093,CAN00039,REQ1020,HR Intro Round,2,2024-06-06,Cleared,REC010,4
STG000094,CAN00039,REQ1020,Technical Round 1,3,2024-06-10,Cleared,REC012,4
STG000095,CAN00039,REQ1020,Hiring Manager Round,4,2024-06-13,Cleared,REC004,5
STG000096,CAN00039,REQ1020,Offer Stage,5,2024-06-20,Cleared,REC002,5
STG000097,CAN00040,REQ1002,Recruiter Screening,1,2024-11-28,Rejected – Skills,\N,2
STG000098,CAN00041,REQ1010,Recruiter Screening,1,2024-12-23,Cleared,\N,3
STG000099,CAN00041,REQ1010,Profile Submission,2,2024-12-26,Candidate Ghosted,REC008,\N
STG000100,CAN00042,REQ1051,Recruiter Screening,1,2024-05-28,Req Cancelled Mid-Process,\N,\N
STG000101,CAN00043,REQ1036,Recruiter Screening,1,2024-08-08,Cleared,\N,5
STG000102,CAN00043,REQ1036,Profile Submission,2,2024-08-16,Rejected – Skills,REC001,3
STG000103,CAN00044,REQ1054,Recruiter Screening,1,2025-04-28,Cleared,\N,5
STG000104,CAN00044,REQ1054,Profile Submission,2,2025-05-05,Cleared,REC004,4
STG000105,CAN00044,REQ1054,Technical Round 1,3,2025-05-12,Rejected – Compensation Mismatch,REC009,\N
STG000106,CAN00045,REQ1057,Recruiter Screening,1,2025-03-11,Cleared,\N,4
STG000107,CAN00045,REQ1057,Profile Submission,2,2025-03-19,Rejected – Skills,REC012,2
STG000108,CAN00046,REQ1005,Recruiter Screening,1,2025-02-13,Cleared,\N,4
STG000109,CAN00046,REQ1005,Profile Submission,2,2025-02-24,Cleared,REC009,5
STG000110,CAN00046,REQ1005,Technical Round 1,3,2025-02-25,Cleared,REC011,4
STG000111,CAN00046,REQ1005,Technical Round 2,4,2025-02-26,Rejected – Compensation Mismatch,REC009,1
STG000112,CAN00047,REQ1043,Recruiter Screening,1,2024-01-26,Cleared,\N,5
STG000113,CAN00047,REQ1043,Profile Submission,2,2024-02-02,Cleared,REC005,4
STG000114,CAN00047,REQ1043,Technical Round 1,3,2024-02-05,Cleared,REC002,5
STG000115,CAN00047,REQ1043,Technical Round 2,4,2024-02-13,On Hold – Panel Unavailable,REC008,\N
STG000116,CAN00048,REQ1027,Recruiter Screening,1,2025-03-10,Cleared,\N,4
STG000117,CAN00048,REQ1027,Profile Submission,2,2025-03-17,Cleared,REC013,3
STG000118,CAN00048,REQ1027,Technical Round 1,3,2025-03-25,Cleared,REC006,3
STG000119,CAN00048,REQ1027,Technical Round 2,4,2025-03-26,Cleared,REC012,3
STG000120,CAN00049,REQ1049,Recruiter Screening,1,2025-03-18,Cleared,\N,3
STG000121,CAN00049,REQ1049,HR Intro Round,2,2025-03-24,Cleared,REC005,4
STG000122,CAN00049,REQ1049,Technical Round 1,3,2025-03-31,Candidate Withdrew,REC011,\N
STG000123,CAN00050,REQ1019,Recruiter Screening,1,2024-06-21,Req Cancelled Mid-Process,\N,\N
STG000124,CAN00051,REQ1047,Recruiter Screening,1,2024-03-25,Cleared,\N,3
STG000125,CAN00051,REQ1047,Profile Submission,2,2024-03-29,Cleared,REC015,5
STG000126,CAN00052,REQ1028,Recruiter Screening,1,2025-06-12,Cleared,\N,4
STG000127,CAN00052,REQ1028,Profile Submission,2,2025-06-16,Cleared,REC013,4
STG000128,CAN00052,REQ1028,Technical Round 1,3,2025-06-20,Cleared,REC004,3
STG000129,CAN00052,REQ1028,Technical Round 2,4,2025-06-24,Cleared,REC005,4
STG000130,CAN00052,REQ1028,System Design Round,5,2025-06-30,Cleared,REC010,4
STG000131,CAN00053,REQ1027,Recruiter Screening,1,2025-03-17,Cleared,\N,5
STG000132,CAN00053,REQ1027,Profile Submission,2,2025-03-20,Rejected – Skills,REC011,2
STG000133,CAN00054,REQ1007,Recruiter Screening,1,2024-10-18,Rejected – Skills,\N,3
STG000134,CAN00055,REQ1030,Recruiter Screening,1,2025-03-10,Cleared,\N,4
STG000135,CAN00055,REQ1030,Profile Submission,2,2025-03-13,Candidate Withdrew,REC010,\N
STG000136,CAN00056,REQ1053,Recruiter Screening,1,2024-02-26,Cleared,\N,5
STG000137,CAN00056,REQ1053,HR Intro Round,2,2024-03-04,Cleared,REC013,3
STG000138,CAN00057,REQ1038,Recruiter Screening,1,2025-05-23,Cleared,\N,5
STG000139,CAN00057,REQ1038,Profile Submission,2,2025-05-29,Candidate Ghosted,REC006,\N
STG000140,CAN00058,REQ1007,Recruiter Screening,1,2024-10-17,Rejected – Skills,\N,3
STG000141,CAN00059,REQ1002,Recruiter Screening,1,2024-10-28,Cleared,\N,5
STG000142,CAN00059,REQ1002,Profile Submission,2,2024-11-11,Rejected – Skills,REC002,1
STG000143,CAN00060,REQ1010,Recruiter Screening,1,2025-03-21,Cleared,\N,5
STG000144,CAN00060,REQ1010,Profile Submission,2,2025-03-27,Cleared,REC002,5
STG000145,CAN00060,REQ1010,Technical Round 1,3,2025-04-03,Cleared,REC001,4
STG000146,CAN00060,REQ1010,Technical Round 2,4,2025-04-08,Cleared,REC015,5
STG000147,CAN00060,REQ1010,Hiring Manager Round,5,2025-04-15,Rejected – Culture Fit,REC009,3
STG000148,CAN00061,REQ1005,Recruiter Screening,1,2025-02-07,Cleared,\N,4
STG000149,CAN00061,REQ1005,Profile Submission,2,2025-02-24,Rejected – Skills,REC012,1
STG000150,CAN00062,REQ1034,Recruiter Screening,1,2024-10-16,Cleared,\N,4
STG000151,CAN00062,REQ1034,Profile Submission,2,2024-10-22,Cleared,REC010,5
STG000152,CAN00062,REQ1034,Technical Round 1,3,2024-10-28,Cleared,REC004,5
STG000153,CAN00062,REQ1034,Technical Round 2,4,2024-10-29,Cleared,REC005,4
STG000154,CAN00063,REQ1040,Recruiter Screening,1,2025-06-26,Rejected – Skills,\N,3
STG000155,CAN00064,REQ1055,Recruiter Screening,1,2024-05-06,Rejected – Skills,\N,2
STG000156,CAN00065,REQ1017,Recruiter Screening,1,2024-10-18,Cleared,\N,5
STG000157,CAN00065,REQ1017,Profile Submission,2,2024-10-24,Cleared,REC007,5
STG000158,CAN00065,REQ1017,Technical Round 1,3,2024-10-31,Cleared,REC015,5
STG000159,CAN00065,REQ1017,Technical Round 2,4,2024-11-07,Cleared,REC013,3
STG000160,CAN00065,REQ1017,Hiring Manager Round,5,2024-11-11,Cleared,REC010,5
STG000161,CAN00065,REQ1017,Offer Stage,6,2024-11-14,Cleared,REC007,5
STG000162,CAN00066,REQ1014,Recruiter Screening,1,2024-04-29,Candidate Withdrew,\N,\N
STG000163,CAN00067,REQ1004,Recruiter Screening,1,2024-12-16,Cleared,\N,3
STG000164,CAN00067,REQ1004,Profile Submission,2,2025-01-03,Cleared,REC012,4
STG000165,CAN00067,REQ1004,Technical Round 1,3,2025-01-20,Cleared,REC002,5
STG000166,CAN00067,REQ1004,Technical Round 2,4,2025-01-30,Rejected – Culture Fit,REC013,3
STG000167,CAN00068,REQ1001,Recruiter Screening,1,2025-03-27,Cleared,\N,3
STG000168,CAN00068,REQ1001,Profile Submission,2,2025-04-08,Cleared,REC012,3
STG000169,CAN00068,REQ1001,Technical Round 1,3,2025-04-21,Cleared,REC012,3
STG000170,CAN00068,REQ1001,Technical Round 2,4,2025-05-05,Cleared,REC010,3
STG000171,CAN00068,REQ1001,Hiring Manager Round,5,2025-05-16,Rejected – Culture Fit,REC006,2
STG000172,CAN00069,REQ1048,Recruiter Screening,1,2024-05-27,Cleared,\N,5
STG000173,CAN00069,REQ1048,HR Intro Round,2,2024-05-28,Cleared,REC003,5
STG000174,CAN00070,REQ1045,Recruiter Screening,1,2024-04-15,Cleared,\N,4
STG000175,CAN00070,REQ1045,Profile Submission,2,2024-05-01,Cleared,REC003,4
STG000176,CAN00070,REQ1045,Technical Round 1,3,2024-05-20,Cleared,REC015,5
STG000177,CAN00070,REQ1045,Technical Round 2,4,2024-06-03,Cleared,REC003,3
STG000178,CAN00070,REQ1045,System Design Round,5,2024-06-18,Rejected – Compensation Mismatch,REC001,2
STG000179,CAN00071,REQ1058,Recruiter Screening,1,2024-12-11,Cleared,\N,5
STG000180,CAN00071,REQ1058,HR Intro Round,2,2024-12-17,Cleared,REC013,3
STG000181,CAN00071,REQ1058,Technical Round 1,3,2024-12-23,Cleared,REC005,5
STG000182,CAN00071,REQ1058,Hiring Manager Round,4,2024-12-27,Rejected – Skills,REC009,2
STG000183,CAN00072,REQ1010,Recruiter Screening,1,2024-12-09,Cleared,\N,3
STG000184,CAN00072,REQ1010,Profile Submission,2,2024-12-16,Cleared,REC005,3
STG000185,CAN00072,REQ1010,Technical Round 1,3,2024-12-19,Cleared,REC008,3
STG000186,CAN00072,REQ1010,Technical Round 2,4,2024-12-23,Rejected – Skills,REC010,3
STG000187,CAN00073,REQ1014,Recruiter Screening,1,2024-06-07,Cleared,\N,5
STG000188,CAN00073,REQ1014,Profile Submission,2,2024-06-10,Cleared,REC005,5
STG000189,CAN00074,REQ1045,Recruiter Screening,1,2025-06-18,Rejected – Skills,\N,\N
STG000190,CAN00075,REQ1006,Recruiter Screening,1,2024-05-22,Cleared,\N,4
STG000191,CAN00075,REQ1006,Profile Submission,2,2024-05-23,Cleared,REC007,3
STG000192,CAN00075,REQ1006,Technical Round 1,3,2024-05-24,Rejected – Skills,REC008,2
STG000193,CAN00076,REQ1002,Recruiter Screening,1,2024-11-29,Rejected – Skills,\N,2
STG000194,CAN00077,REQ1014,Recruiter Screening,1,2024-05-06,Cleared,\N,4
STG000195,CAN00077,REQ1014,Profile Submission,2,2024-05-13,Candidate Withdrew,REC013,\N
STG000196,CAN00078,REQ1025,Recruiter Screening,1,2024-12-27,Cleared,\N,4
STG000197,CAN00078,REQ1025,Profile Submission,2,2024-12-31,On Hold – Panel Unavailable,REC015,\N
STG000198,CAN00079,REQ1026,Recruiter Screening,1,2024-08-20,Cleared,\N,5
STG000199,CAN00079,REQ1026,Profile Submission,2,2024-09-02,Cleared,REC012,5
STG000200,CAN00079,REQ1026,Technical Round 1,3,2024-09-16,Cleared,REC001,3
STG000201,CAN00079,REQ1026,Technical Round 2,4,2024-09-17,Cleared,REC009,3
STG000202,CAN00080,REQ1021,Recruiter Screening,1,2024-11-04,Cleared,\N,3
STG000203,CAN00080,REQ1021,Profile Submission,2,2024-11-07,Cleared,REC007,3
STG000204,CAN00080,REQ1021,Technical Round 1,3,2024-11-11,Cleared,REC009,3
STG000205,CAN00080,REQ1021,Technical Round 2,4,2024-11-18,Cleared,REC006,4
STG000206,CAN00080,REQ1021,System Design Round,5,2024-11-26,Cleared,REC010,4
STG000207,CAN00080,REQ1021,Panel Round,6,2024-12-04,Cleared,REC003,3
STG000208,CAN00080,REQ1021,Founder/CXO Round,7,2024-12-09,Cleared,REC006,4
STG000209,CAN00080,REQ1021,Reference Check,8,2024-12-13,Cleared,REC009,3
STG000210,CAN00080,REQ1021,Offer Stage,9,2024-12-20,Cleared,REC001,5
STG000211,CAN00081,REQ1025,Recruiter Screening,1,2025-02-20,Rejected – Culture Fit,\N,1
STG000212,CAN00082,REQ1035,Recruiter Screening,1,2024-07-29,Rejected – Skills,\N,1
STG000213,CAN00083,REQ1016,Recruiter Screening,1,2024-10-21,Cleared,\N,4
STG000214,CAN00083,REQ1016,Profile Submission,2,2024-10-28,Rejected – Skills,REC009,3
STG000215,CAN00084,REQ1060,Recruiter Screening,1,2025-02-21,Cleared,\N,5
STG000216,CAN00084,REQ1060,HR Intro Round,2,2025-03-04,Cleared,REC001,3
STG000217,CAN00085,REQ1012,Recruiter Screening,1,2024-11-19,Cleared,\N,3
STG000218,CAN00085,REQ1012,Profile Submission,2,2024-11-27,Cleared,REC006,4
STG000219,CAN00085,REQ1012,Technical Round 1,3,2024-12-04,Cleared,REC003,4
STG000220,CAN00085,REQ1012,Technical Round 2,4,2024-12-09,Cleared,REC012,4
STG000221,CAN00086,REQ1006,Recruiter Screening,1,2024-05-20,Cleared,\N,3
STG000222,CAN00086,REQ1006,Profile Submission,2,2024-05-21,Rejected – Skills,REC005,1
STG000223,CAN00087,REQ1035,Recruiter Screening,1,2024-07-26,Rejected – Skills,\N,1
STG000224,CAN00088,REQ1047,Recruiter Screening,1,2024-03-19,Cleared,\N,5
STG000225,CAN00088,REQ1047,Profile Submission,2,2024-03-25,Req Cancelled Mid-Process,REC002,\N
STG000226,CAN00089,REQ1036,Recruiter Screening,1,2024-08-12,Rejected – Skills,\N,2
STG000227,CAN00090,REQ1016,Recruiter Screening,1,2024-10-30,Cleared,\N,5
STG000228,CAN00090,REQ1016,Profile Submission,2,2024-11-04,Cleared,REC013,4
STG000229,CAN00090,REQ1016,Technical Round 1,3,2024-11-08,Rejected – Skills,REC003,1
STG000230,CAN00091,REQ1056,Recruiter Screening,1,2025-03-20,Cleared,\N,4
STG000231,CAN00091,REQ1056,Profile Submission,2,2025-03-24,Cleared,REC007,\N
STG000232,CAN00091,REQ1056,Technical Round 1,3,2025-03-31,Candidate Withdrew,REC003,\N
STG000233,CAN00092,REQ1001,Recruiter Screening,1,2025-02-13,Cleared,\N,5
STG000234,CAN00092,REQ1001,Profile Submission,2,2025-02-24,Cleared,REC002,4
STG000235,CAN00092,REQ1001,Technical Round 1,3,2025-03-06,Cleared,REC005,3
STG000236,CAN00092,REQ1001,Technical Round 2,4,2025-03-20,Rejected – Culture Fit,REC012,2
STG000237,CAN00093,REQ1035,Recruiter Screening,1,2024-06-24,Cleared,\N,4
STG000238,CAN00093,REQ1035,Profile Submission,2,2024-07-01,Cleared,REC013,4
STG000239,CAN00093,REQ1035,Technical Round 1,3,2024-07-05,Cleared,REC002,3
STG000240,CAN00093,REQ1035,Technical Round 2,4,2024-07-09,Rejected – Culture Fit,REC012,3
STG000241,CAN00094,REQ1033,Recruiter Screening,1,2024-09-11,Cleared,\N,3
STG000242,CAN00094,REQ1033,HR Intro Round,2,2024-09-16,Rejected – Compensation Mismatch,REC012,3
STG000243,CAN00095,REQ1003,Recruiter Screening,1,2024-07-02,Cleared,\N,4
STG000244,CAN00095,REQ1003,HR Intro Round,2,2024-07-15,Cleared,REC001,3
STG000245,CAN00095,REQ1003,Technical Round 1,3,2024-07-26,Cleared,REC002,3
STG000246,CAN00095,REQ1003,Hiring Manager Round,4,2024-08-12,Cleared,REC003,3
STG000247,CAN00095,REQ1003,Offer Stage,5,2024-08-13,Rejected – Culture Fit,REC007,1
STG000248,CAN00096,REQ1043,Recruiter Screening,1,2024-02-12,Cleared,\N,3
STG000249,CAN00096,REQ1043,Profile Submission,2,2024-02-20,Cleared,REC008,5
STG000250,CAN00096,REQ1043,Technical Round 1,3,2024-02-23,Cleared,REC004,4
STG000251,CAN00096,REQ1043,Technical Round 2,4,2024-03-04,Rejected – Compensation Mismatch,REC013,3
STG000252,CAN00097,REQ1027,Recruiter Screening,1,2025-03-20,Cleared,\N,3
STG000253,CAN00097,REQ1027,Profile Submission,2,2025-03-24,Cleared,REC001,4
STG000254,CAN00097,REQ1027,Technical Round 1,3,2025-03-25,Cleared,REC003,3
STG000255,CAN00097,REQ1027,Technical Round 2,4,2025-03-26,Cleared,REC014,5
STG000256,CAN00098,REQ1001,Recruiter Screening,1,2025-03-17,Cleared,\N,5
STG000257,CAN00098,REQ1001,Profile Submission,2,2025-04-01,Rejected – Compensation Mismatch,REC006,3
STG000258,CAN00099,REQ1051,Recruiter Screening,1,2024-05-20,Req Cancelled Mid-Process,\N,\N
STG000259,CAN00100,REQ1015,Recruiter Screening,1,2025-01-21,Rejected – Skills,\N,1
STG000260,CAN00101,REQ1015,Recruiter Screening,1,2025-02-21,Cleared,\N,3
STG000261,CAN00101,REQ1015,Profile Submission,2,2025-02-28,Rejected – Compensation Mismatch,REC012,2
STG000262,CAN00102,REQ1040,Recruiter Screening,1,2025-02-27,Cleared,\N,5
STG000263,CAN00102,REQ1040,Profile Submission,2,2025-03-07,Rejected – Compensation Mismatch,REC004,2
STG000264,CAN00103,REQ1060,Recruiter Screening,1,2025-02-24,Rejected – Skills,\N,2
STG000265,CAN00104,REQ1015,Recruiter Screening,1,2025-02-24,Cleared,\N,4
STG000266,CAN00104,REQ1015,Profile Submission,2,2025-03-04,Cleared,REC003,4
STG000267,CAN00104,REQ1015,Technical Round 1,3,2025-03-12,Rejected – Culture Fit,REC011,3
STG000268,CAN00105,REQ1050,Recruiter Screening,1,2024-06-06,Cleared,\N,4
STG000269,CAN00105,REQ1050,HR Intro Round,2,2024-06-14,Cleared,REC008,4
STG000270,CAN00105,REQ1050,Technical Round 1,3,2024-06-20,Cleared,REC013,4
STG000271,CAN00105,REQ1050,Hiring Manager Round,4,2024-06-21,Rejected – Skills,REC008,1
STG000272,CAN00106,REQ1027,Recruiter Screening,1,2025-02-24,Rejected – Skills,\N,1
STG000273,CAN00107,REQ1030,Recruiter Screening,1,2025-03-12,Cleared,\N,3
STG000274,CAN00107,REQ1030,Profile Submission,2,2025-03-17,Cleared,REC007,3
STG000275,CAN00107,REQ1030,Technical Round 1,3,2025-03-25,Cleared,REC005,5
STG000276,CAN00108,REQ1016,Recruiter Screening,1,2024-10-29,Cleared,\N,3
STG000277,CAN00108,REQ1016,Profile Submission,2,2024-11-04,Rejected – Skills,REC004,2
STG000278,CAN00109,REQ1039,Recruiter Screening,1,2024-12-16,Cleared,\N,5
STG000279,CAN00109,REQ1039,Profile Submission,2,2024-12-23,Cleared,REC006,3
STG000280,CAN00109,REQ1039,Technical Round 1,3,2024-12-30,Cleared,REC008,4
STG000281,CAN00109,REQ1039,Technical Round 2,4,2025-01-06,Cleared,REC001,5
STG000282,CAN00109,REQ1039,System Design Round,5,2025-01-10,Rejected – Culture Fit,REC011,1
STG000283,CAN00110,REQ1027,Recruiter Screening,1,2025-03-24,Cleared,\N,4
STG000284,CAN00110,REQ1027,Profile Submission,2,2025-03-25,Candidate Withdrew,REC008,\N
STG000285,CAN00111,REQ1055,Recruiter Screening,1,2024-04-01,Cleared,\N,5
STG000286,CAN00111,REQ1055,Profile Submission,2,2024-04-05,Cleared,REC003,3
STG000287,CAN00111,REQ1055,Technical Round 1,3,2024-04-09,Rejected – Skills,REC002,2
STG000288,CAN00112,REQ1020,Recruiter Screening,1,2024-05-30,Cleared,\N,5
STG000289,CAN00112,REQ1020,HR Intro Round,2,2024-06-04,Rejected – Culture Fit,REC013,1
STG000290,CAN00113,REQ1053,Recruiter Screening,1,2024-02-05,Cleared,\N,4
STG000291,CAN00113,REQ1053,HR Intro Round,2,2024-02-12,Cleared,REC010,5
STG000292,CAN00113,REQ1053,Technical Round 1,3,2024-02-19,Cleared,REC010,3
STG000293,CAN00113,REQ1053,Hiring Manager Round,4,2024-02-26,Rejected – Skills,REC015,2
STG000294,CAN00114,REQ1048,Recruiter Screening,1,2024-05-13,Rejected – Skills,\N,2
STG000295,CAN00115,REQ1040,Recruiter Screening,1,2025-02-26,Cleared,\N,5
STG000296,CAN00115,REQ1040,Profile Submission,2,2025-03-03,Cleared,REC012,4
STG000297,CAN00115,REQ1040,Technical Round 1,3,2025-03-10,Rejected – Skills,REC009,1
